Month,Open,High,Low,Close
January-1991,1027.38,1034.30,947.14,982.32,
February-1991,987.11,1249.36,983.23,1220.41,
March-1991,1200.43,1251.07,1137.59,1167.97,
April-1991,1179.18,1316.38,1179.18,1235.11,
May-1991,1269.39,1338.46,,1307.34,
June-1991,1302.82,1372.25,1245.15,1269.91,
July-1991,1253.08,1679.95,,1632.67,
August-1991,1647.29,1861.94,1598.85,1795.99,
September-1991,1802.43,1918.21,,1885.28,
October-1991,1872.69,1897.71,1685.57,1889.84,
November-1991,1914.12,1955.29,,1903.31,
December-1991,1918.61,1946.28,1804.81,1908.85,
January-1992,,2329.95,,2302.54,
February-1992,,3049.90,,3017.68,
March-1992,3273.47,4318.95,,4285.00,
April-1992,4546.58,4546.58,,3887.72,
May-1992,3531.21,3710.86,2963.49,3006.08,
June-1992,2958.39,3198.77,,3080.54,
July-1992,2972.96,2972.96,2677.07,2727.06,
August-1992,2721.02,3071.52,2529.59,3031.63,
September-1992,3080.79,3463.14,3017.04,3294.42,
October-1992,3303.93,3329.80,2825.58,2833.34,
November-1992,2867.57,2982.90,2413.62,2518.10,
December-1992,2522.07,2708.62,2359.34,2615.37,
January-1993,2617.78,2954.25,2389.80,2680.79,
February-1993,2667.38,2842.33,2605.02,2783.58,
March-1993,2677.93,2677.93,,2280.52,
April-1993,2294.41,2412.15,1980.06,2122.30,
May-1993,2099.18,2369.31,2059.77,2192.74,
June-1993,2232.29,2437.71,2140.39,2227.54,
July-1993,2243.81,2336.60,2082.38,2328.21,
August-1993,2354.99,2768.54,2322.71,2633.79,
September-1993,2627.29,2838.90,2513.61,2709.64,
October-1993,2712.72,2756.85,2612.03,2673.74,
November-1993,2648.26,3243.33,2609.37,3233.14,
December-1993,3270.84,3459.07,3149.80,3346.06,
January-1994,3436.87,4152.74,3405.88,3994.86,
February-1994,3939.17,4288.44,,4286.20,
March-1994,4273.48,4273.48,3643.33,3778.99,
April-1994,3766.82,3944.95,3694.55,3746.10,
May-1994,3728.57,3851.15,3575.77,3829.36,
